"user_id","item_id","timestamp","type","priority","recency","customer_name"
"13601","251","1647376780000","is_invited","1","4","c3"
"13671","251","1647376780000","is_invited","1","4","c3"
"17590","257","1647640344000","is_invited","1","4","c3"
"17592","241","1646401427000","is_invited","1","4","c3"
"13640","251","1647376780000","is_invited","1","4","c3"
"13606","251","1647376780000","is_invited","1","4","c3"
"13633","251","1647376780000","is_invited","1","4","c3"
"13675","251","1647376780000","is_invited","1","4","c3"
"13617","251","1647376780000","is_invited","1","4","c3"
"13599","251","1647376780000","is_invited","1","4","c3"
"13592","251","1647376780000","is_invited","1","4","c3"
"13560","131","1630600604000","is_invited","1","3","c3"
"13593","251","1647376780000","is_invited","1","4","c3"
"15360","336","1651530349000","is_invited","1","4","c3"
"13603","251","1647376780000","is_invited","1","4","c3"
"17609","104","1630524040000","is_invited","1","3","c3"
"13800","168","1636651942000","is_invited","1","3","c3"
"13630","251","1647376780000","is_invited","1","4","c3"
"13620","251","1647376780000","is_invited","1","4","c3"
"13602","251","1647376780000","is_invited","1","4","c3"
"13613","251","1647376780000","is_invited","1","4","c3"
"13689","274","1648740836000","is_invited","1","4","c3"
"15360","228","1647472582000","is_invited","1","4","c3"
"13343","295","1649180610000","is_inviting","1","4","c3"
"13343","336","1651530349000","is_inviting","1","4","c3"
"13343","294","1649171041000","is_inviting","1","4","c3"
"13114","326","1650650545000","is_invited","1","4","c3"
"13572","251","1647376780000","is_invited","1","4","c3"
"13622","251","1647376780000","is_invited","1","4","c3"
"13568","251","1647376780000","is_invited","1","4","c3"
"13659","251","1647376780000","is_invited","1","4","c3"
"13886","104","1630524040000","is_invited","1","3","c3"
"13538","153","1634145914000","is_invited","1","3","c3"
"13623","251","1647376780000","is_invited","1","4","c3"
"13536","153","1634145914000","is_invited","1","3","c3"
"13466","251","1647376780000","is_invited","1","4","c3"
"13573","251","1647376780000","is_invited","1","4","c3"
"16294","153","1634145914000","is_invited","1","3","c3"
"13516","193","1643925984000","is_invited","1","4","c3"
"13664","251","1647376780000","is_invited","1","4","c3"
"13516","189","1643904891000","is_invited","1","4","c3"
"13801","76","1627942092000","is_invited","1","3","c3"
"13575","251","1647376780000","is_invited","1","4","c3"
"17592","257","1647640344000","is_invited","1","4","c3"
"13616","251","1647376780000","is_invited","1","4","c3"
"13637","251","1647376780000","is_invited","1","4","c3"
