"item_id","_parquetpath_id","customer_name"
"399","65","c3"
"682","38","c2"
"467","77","c3"
"15","4","c3"
"106","13","c1"
"147","28","c1"
"127","16","c1"
"649","32","c2"
"287","47","c3"
"116","49","c3"
"144","24","c1"
"505","78","c3"
"45","5","c3"
"458","74","c3"
"158","14","c1"
"150","27","c1"
"106","83","c3"
"23","4","c3"
"477","85","c3"
"114","11","c1"
"158","15","c1"
"144","22","c1"
"511","29","c2"
"22","4","c3"
"21","8","c3"
"149","27","c1"
"19","70","c3"
"117","17","c1"
"213","31","c3"
"131","30","c3"
"33","77","c3"
"123","19","c3"
"78","18","c1"
"115","15","c1"
"502","29","c2"
"286","47","c3"
"75","10","c1"
"148","27","c1"
"582","30","c2"
"16","8","c3"
"490","78","c3"
"502","6","c3"
"398","65","c3"
"28","8","c3"
"633","31","c2"
"316","46","c3"
"592","31","c2"
"653","32","c2"
"468","6","c3"
"580","30","c2"
"348","75","c3"
"443","72","c3"
"135","30","c3"
"77","18","c1"
"151","25","c1"
"57","6","c3"
"448","73","c3"
"114","18","c1"
"509","29","c2"
"93","10","c3"
"118","4","c3"
"584","30","c2"
"643","40","c2"
"167","34","c3"
"445","73","c3"
"32","8","c3"
"387","64","c3"
"438","72","c3"
"127","29","c3"
"81","11","c1"
"662","42","c2"
"602","30","c2"
"338","75","c3"
"397","64","c3"
"688","41","c2"
"581","30","c2"
"512","85","c3"
"106","23","c3"
"417","69","c3"
"272","54","c3"
"124","17","c1"
"413","29","c2"
"32","70","c3"
"24","4","c3"
"28","77","c3"
"104","23","c3"
"107","15","c3"
"220","59","c3"
"171","34","c3"
"75","18","c1"
"126","17","c1"
"29","4","c3"
"98","19","c3"
"111","12","c1"
"504","29","c2"
"295","61","c3"
"154","29","c1"
"507","29","c2"
