"user_id","item_id","rating","customer_name"
"13217","508","5","c3"
"17081","494","5","c3"
"13825","195","5","c3"
"17824","494","5","c3"
"13111","26","5","c3"
"13593","451","5","c3"
"17866","119","5","c3"
"17341","500","5","c3"
"18017","318","5","c3"
"13249","322","5","c3"
"17559","500","5","c3"
"16204","32","4","c2"
"13227","64","5","c2"
"17924","646","2","c2"
"17668","639","5","c2"
"18045","641","5","c2"
"17350","504","1","c2"
"15389","413","4","c2"
"17168","406","3","c2"
"14924","413","3","c2"
"14423","660","3","c2"
"13673","413","5","c2"
"14817","413","5","c2"
"14464","397","5","c2"
"13792","189","5","c2"
"13343","639","5","c2"
"15579","413","5","c2"
"16216","413","5","c2"
"13570","413","5","c2"
"16249","413","5","c2"
"13227","35","5","c2"
"17890","639","5","c2"
"14259","403","5","c2"
"17983","645","3","c2"
"13792","413","5","c2"
"16703","397","5","c2"
"14257","285","4","c2"
"13386","52","5","c2"
"13982","32","5","c2"
"17943","710","4","c2"
"17359","581","5","c2"
"13594","587","5","c2"
"13778","641","5","c2"
"13274","583","5","c2"
"17433","612","2","c2"
"15690","407","5","c2"
"13291","583","5","c2"
"17340","509","5","c2"
"17737","640","2","c2"
"13655","108","5","c2"
"15597","413","5","c2"
"13908","507","5","c2"
"17453","602","5","c2"
"17064","584","5","c2"
"14796","606","5","c2"
"15112","413","5","c2"
"13365","252","5","c3"
"18018","33","5","c3"
"13825","426","5","c3"
"13236","316","5","c3"
"18018","60","5","c3"
"17170","500","5","c3"
"18018","24","5","c3"
"17775","114","5","c3"
"18018","196","5","c3"
"18018","23","5","c3"
"13532","220","5","c3"
"13365","245","5","c3"
"18018","25","5","c3"
"17926","119","5","c3"
"17158","500","5","c3"
"13343","446","5","c3"
"17401","599","4","c2"
"13663","32","1","c2"
"14540","413","5","c2"
"16816","413","3","c2"
"17352","506","3","c2"
"13025","398","5","c2"
"17613","625","5","c2"
"14528","413","5","c2"
"17613","624","5","c2"
"13301","250","5","c2"
"13778","640","5","c2"
"13428","35","5","c2"
"13357","671","3","c2"
"17340","511","5","c2"
"13751","150","4","c2"
"13618","100","5","c2"
"14428","471","5","c2"
"15982","717","4","c2"
"15450","413","5","c2"
"17278","406","5","c2"
"13451","68","1","c2"
"14669","410","5","c2"
"17737","641","2","c2"
"17606","646","4","c2"
"14407","413","5","c2"
"17433","608","3","c2"
"13755","149","5","c2"
"17737","681","2","c2"
"15689","405","5","c2"
"17541","620","5","c2"
"13570","499","1","c2"
"13572","86","1","c2"
"17789","639","5","c2"
"13435","69","5","c2"
"13227","65","5","c2"
"14464","399","5","c2"
"16204","413","4","c2"
"17338","402","5","c2"
"13751","148","4","c2"
"17359","639","4","c2"
"17274","401","5","c2"
"13592","413","5","c2"
"17576","663","5","c2"
"13464","46","5","c2"
"16811","413","2","c2"
"17396","601","5","c2"
"14673","410","4","c2"
"16862","413","5","c2"
"17352","507","1","c2"
"13227","585","5","c2"
"17335","404","4","c2"
"16943","413","4","c2"
"13275","348","5","c3"
"13235","328","5","c3"
"13275","338","5","c3"
"14973","119","5","c3"
"18018","72","5","c3"
"13299","217","5","c3"
"13227","494","5","c3"
"18018","29","5","c3"
"13285","316","1","c3"
"17300","196","5","c3"
"17524","312","5","c3"
"14375","385","5","c2"
"17359","583","5","c2"
"16254","509","5","c2"
"17673","641","1","c2"
"14408","413","1","c2"
"13387","52","4","c2"
