"group_id","user_id","customer_name"
"6","17177","c2"
"2","14436","c2"
"2","16938","c2"
"2","13486","c2"
"15512","15514","c2"
"17716","17732","c2"
"1","13230","c2"
"2","13971","c2"
"6","16471","c2"
"6","16978","c2"
"17649","14519","c2"
"2","14853","c2"
"15697","15702","c2"
"2","16976","c2"
"1","15630","c2"
"17648","17670","c2"
"14957","14415","c2"
"6","13639","c2"
"6","17973","c2"
"6","15799","c2"
"17715","17855","c2"
"1","16810","c2"
"13764","16946","c2"
"17110","17165","c2"
"1","14395","c2"
"15775","15970","c2"
"14739","14746","c2"
"1","13456","c2"
"15105","15118","c2"
"14249","15126","c2"
"13030","14522","c2"
"13647","13700","c2"
"17285","17300","c2"
"17349","17370","c2"
"17493","17994","c2"
"13764","16473","c2"
"1","17963","c2"
"1","15897","c2"
"15775","15786","c2"
"17437","17446","c2"
"17499","17251","c2"
"13765","17034","c2"
"2","15135","c2"
"6","17688","c2"
"2","13798","c2"
"6","14477","c2"
"2","13543","c2"
"1","17553","c2"
"15358","15382","c2"
"1","15540","c2"
"1","18139","c2"
"15696","15713","c2"
"1","17707","c2"
"15053","15882","c2"
"1","13388","c2"
"13493","13520","c2"
"2","13866","c2"
"13030","17343","c2"
"13559","13605","c2"
"2","15931","c2"
"13332","15808","c2"
"6","14766","c2"
"2","17625","c2"
"16117","17224","c2"
"1","16239","c2"
"1","13737","c2"
"13765","15724","c2"
"1","16731","c2"
"17715","17807","c2"
"18117","18053","c2"
"6","13970","c2"
"13339","16996","c2"
"17573","17562","c2"
"15528","15541","c2"
"13339","13421","c2"
"1","17185","c2"
"6","15840","c2"
"15775","15906","c2"
"6","16054","c2"
"15543","15573","c2"
"17635","17078","c2"
"18157","18159","c2"
"1","17099","c2"
"2","17772","c2"
"1","16584","c2"
"1","14860","c2"
"14419","17567","c2"
"13877","13987","c2"
"14939","14943","c2"
"2","17858","c2"
"1","16926","c2"
"1","15101","c2"
"1","17564","c2"
"6","17515","c2"
"18065","18114","c2"
"17109","17301","c2"
"13536","13632","c2"
"16117","16893","c2"
"1","18053","c2"
"17649","17671","c2"
"1","16224","c2"
"16271","16654","c2"
"14370","14375","c2"
"6","13369","c2"
"2","14602","c2"
"13816","13828","c2"
"6","13729","c2"
"13765","15746","c2"
"2","13471","c2"
"2","17201","c2"
"1","16430","c2"
"6","14582","c2"
"13773","13791","c2"
"2","15195","c2"
"17364","14534","c2"
"1","15645","c2"
"6","16422","c2"
"17577","17550","c2"
"2","17186","c2"
"13647","15480","c2"
"2","13441","c2"
"16525","16574","c2"
"6","13429","c2"
"17635","17645","c2"
"13061","24195","c1"
"13082","15331","c1"
"13035","13357","c1"
"13091","26841","c1"
"1","24847","c1"
"1","26375","c1"
"2","15807","c1"
"2","14549","c1"
"6","24903","c1"
"2","24547","c1"
"15864","20136","c1"
"1","18353","c1"
"6","25530","c1"
"13072","17976","c1"
"13098","15856","c1"
"2","19120","c1"
"13148","19823","c1"
"15864","22093","c1"
"2","24923","c1"
"6","18187","c1"
"16506","18483","c1"
"13092","20233","c1"
"6","15795","c1"
"13217","25117","c1"
"1","15566","c1"
"13118","14853","c1"
"13035","13421","c1"
"2","21456","c1"
"13064","26395","c1"
"13127","25567","c1"
"2","25099","c1"
"16506","20323","c1"
"1","21718","c1"
"13035","14585","c1"
"2","24434","c1"
"13541","16297","c1"
"15864","17064","c1"
"1","18094","c1"
"1","26552","c1"
"1","21035","c1"
"1","24445","c1"
"6","21473","c1"
"23424","19129","c1"
"6","22837","c1"
"23753","18878","c1"
"6","20591","c1"
"23749","24054","c1"
"2","25734","c1"
"2","19758","c1"
"2","16021","c1"
"6","25793","c1"
"13098","15785","c1"
"1","16329","c1"
"15864","21676","c1"
"13073","19956","c1"
"2","17512","c1"
"13932","16202","c1"
"2","19255","c1"
"21389","21396","c1"
"1","18537","c1"
"13083","21983","c1"
"6","14907","c3"
"17166","17368","c3"
"1","17839","c3"
"16482","15291","c3"
"1","14292","c3"
"6","17005","c3"
"16156","13421","c3"
"13849","14940","c3"
"13849","14050","c3"
"2","13434","c3"
"16483","14004","c3"
"6","13448","c3"
"1","13473","c3"
"16156","13331","c3"
"15338","13134","c3"
"6","13356","c3"
"2","16993","c3"
"6","13538","c3"
"13849","13932","c3"
"16156","13162","c3"
"16323","17022","c3"
"6","17341","c3"
"6","14299","c3"
"1","17060","c3"
"2","14163","c3"
"16156","17457","c3"
"13848","13787","c3"
"1","14485","c3"
"6","13140","c3"
"16068","13765","c3"
"1","17152","c3"
"2","14223","c3"
"2","16191","c3"
"13847","17971","c3"
"6","14509","c3"
"1","14183","c3"
"13849","15233","c3"
"1","17937","c3"
"16156","13618","c3"
"1","15231","c3"
"15344","13298","c3"
"16084","13772","c3"
"6","17805","c3"
"17955","13144","c3"
"2","17654","c3"
"17933","13232","c3"
"2","16157","c3"
"6","17358","c3"
"6","14708","c3"
"1","17948","c3"
"16101","13504","c3"
"16323","17852","c3"
"6","16359","c3"
"6","18175","c3"
"17166","17509","c3"
"16156","17089","c3"
"2","13417","c3"
"13849","14399","c3"
"1","13721","c3"
"17693","13573","c3"
"17213","17584","c3"
"6","14988","c3"
"15342","13236","c3"
"16069","16268","c3"
"1","17668","c3"
"6","17623","c3"
"2","14058","c3"
"1","16472","c3"
"1","14863","c3"
"16156","16925","c3"
"1","16870","c3"
"13849","14035","c3"
"6","16789","c3"
"16077","13519","c3"
"16156","13359","c3"
"13849","16901","c3"
"16156","17269","c3"
"16077","13632","c3"
"13052","14286","c3"
"17165","16278","c3"
"2","14559","c3"
"2","14219","c3"
"17165","13559","c3"
"6","14815","c3"
"6","14156","c3"
"16070","13566","c3"
"2","15273","c3"
"2","14794","c3"
"16385","16389","c3"
"16574","13328","c3"
"1","13477","c3"
"16156","13440","c3"
"17165","17760","c3"
"13849","16882","c3"
"1","14029","c3"
"1","16564","c3"
"2","16991","c3"
"15340","13198","c3"
"6","16428","c3"
"6","17604","c3"
"1","17612","c3"
"16156","16730","c3"
"6","13232","c3"
"2","18024","c3"
"13849","17894","c3"
"13847","17706","c3"
"1","14951","c3"
"2","17280","c3"
"16156","13656","c3"
"6","14875","c3"
"1","13631","c3"
"13849","14202","c3"
"16085","17404","c3"
"6","16415","c3"
"17693","13340","c3"
"2","14540","c3"
"16483","15285","c3"
"6","17125","c3"
"16034","16252","c3"
"13848","13117","c3"
"13849","16974","c3"
"1","14998","c3"
"6","16770","c3"
"6","13555","c3"
"2","13348","c3"
"1","17494","c3"
"13848","17263","c3"
"2","13789","c3"
"1","16042","c3"
"16576","13392","c3"
"6","17538","c3"
"2","16820","c3"
"13847","17015","c3"
"2","14366","c3"
"6","13876","c3"
"16077","13427","c3"
"2","17513","c3"
"16082","13060","c3"
"2","17789","c3"
"1","17330","c3"
"2","13344","c3"
"13849","16846","c3"
"6","16879","c3"
"16156","13374","c3"
"2","13423","c3"
"6","17264","c3"
"6","14603","c3"
"1","17766","c3"
"2","17898","c3"
"2","14238","c3"
"13849","14251","c3"
"17165","13469","c3"
"17933","13144","c3"
"6","17377","c3"
"13849","16758","c3"
"13849","14238","c3"
"1","14181","c3"
"6","16235","c3"
"1","16782","c3"
"16156","16514","c3"
"16574","13292","c3"
"15332","13209","c3"
"6","16310","c3"
"17986","13732","c3"
"6","17897","c3"
"13849","17913","c3"
"2","16495","c3"
"17165","17046","c3"
"16506","18080","c1"
"13932","13315","c1"
"2","18026","c1"
"6","20222","c1"
"16828","17113","c1"
"16506","16514","c1"
"15864","21857","c1"
"6","17929","c1"
"6","16077","c1"
"6","20988","c1"
"6","15371","c1"
"13035","15927","c1"
"23496","21087","c1"
"13061","23312","c1"
"16506","19644","c1"
"2","13316","c1"
"1","18046","c1"
"13082","13899","c1"
"13035","18314","c1"
"15864","20152","c1"
"13045","18728","c1"
"6","24716","c1"
"13204","24077","c1"
"23630","19589","c1"
"6","20111","c1"
"14006","24464","c1"
"2","22022","c1"
"13064","26276","c1"
"13082","14081","c1"
"2","24460","c1"
"16232","24461","c1"
"13148","24414","c1"
"1","22254","c1"
"1","26442","c1"
"13072","21697","c1"
"13163","14690","c1"
"6","22571","c1"
"1","24491","c1"
"6","25024","c1"
"13932","15037","c1"
"2","24368","c1"
"2","25938","c1"
"16506","17049","c1"
"13091","20367","c1"
"2","15451","c1"
"21104","17313","c1"
"1","22767","c1"
"6","23865","c1"
"13327","24339","c1"
"15864","21853","c1"
"6","25942","c1"
"13065","20959","c1"
"2","15164","c1"
"13042","16646","c1"
