idCourse,idUser,rating,ipUser,timestamp
6538,15790,5,"",1603986618000
10362,15790,5,"",1630426412000
9820,18907,1,"",1625739371000
9820,383454,3,"",1628087071000
6554,20231,5,"",1607108631000
8955,19070,5,"",1625164815000
6535,15790,5,"",1603491237000
9493,18704,5,"",1624476646000
6537,17118,5,"",1606842580000
8958,369088,5,"",1623792047000
8730,24042,5,"",1618414808000
9493,308034,3,"",1624476599000
10364,296194,5,"",1640159644000
10799,17234,2,"",1635865678000
8955,16666,5,"",1623786946000
9015,19181,3,"",1623794133000
6535,15872,5,"",1608653974000
9820,18807,4,"",1628003050000
8251,362746,5,"",1616488077000
8735,18382,5,"",1619116331000
7322,19757,4,"",1611285177000
7746,341679,5,"",1622136393000
11121,20147,5,"",1638977710000
11121,16259,4,"",1638980818000
11123,18657,5,"",1638985950000
8268,18655,5,"",1616600882000
7793,19077,1,"",1615911419000
9820,378850,2,"",1625306604000
8959,16663,1,"",1623946865000
9820,19163,5,"",1627552363000
8730,18382,5,"",1617828061000
8946,298835,5,"",1623252093000
6521,358219,5,"",1613506781000
9015,369386,5,"",1623686535000
8321,17121,5,"",1616609729000
7793,296197,5,"",1617879186000
8955,369648,5,"",1623862064000
9015,369613,5,"",1623865979000
9492,18657,5,"",1624480930000
7322,358218,4,"",1615805185000
6263,362746,5,"",1616557842000
9015,19360,5,"",1624291375000
6537,24042,5,"",1604067196000
8268,16918,5,"",1617037239000
8955,16027,3,"",1623861896000
8154,358218,4,"",1621927628000
8955,19308,2,"",1624999899000
10836,43110,5,"",1638376379000
7795,19077,3,"",1616012423000
8961,15604,5,"",1625174373000
6538,17118,5,"",1605629255000
8272,18429,5,"",1616596272000
10363,296194,5,"",1640158158000
8959,16816,4,"",1624897976000
9015,369093,5,"",1625155374000
5972,306056,5,"",1632350801000
10799,18030,5,"",1635865469000
6233,156630,5,"",1638386511000
9060,93854,5,"",1623687788000
9820,377277,1,"",1625026095000
8322,17335,5,"",1616618949000
8321,18655,5,"",1616609335000
9015,19831,5,"",1624573351000
9015,16663,5,"",1623686616000
7746,19239,5,"",1609184565000
10800,400633,4,"",1638302291000
8960,16467,1,"",1625703258000
8946,19299,5,"",1623945574000
8260,16277,4,"",1616618860000
9820,296250,5,"",1627190536000
8733,18382,5,"",1618414027000
9491,375672,5,"",1624471403000
9015,16027,5,"",1623772602000
8260,16666,5,"",1616604950000
8733,15872,5,"",1639516564000
10646,15474,5,"",1633540099000
9015,369012,5,"",1623831589000
8946,17800,5,"",1623936848000
8958,341679,5,"",1623791771000
7796,16419,5,"",1614712585000
10791,393039,5,"",1634666274000
6233,302489,1,"",1638383980000
8955,18253,2,"",1624383204000
11124,403358,4,"",1638990713000
