idst,idstMember,filter
15481,15308,""
2,13751,""
1,15093,""
1,14371,""
6,14776,""
6,13679,""
6,15246,""
14478,13842,""
6,14578,""
14528,13939,""
1,13937,""
13035,15346,""
2,13705,""
6,14381,""
13060,15434,""
2,15518,""
1,15285,""
13060,15263,""
14478,14356,""
2,15045,""
13124,13908,""
13035,15367,""
14696,15222,""
2,13593,""
6,15137,""
1,14072,""
14520,15515,""
13142,13701,""
13060,15252,""
2,15310,""
6,13857,""
13060,14550,""
6,13835,""
13068,13827,""
13035,15414,""
6,14530,""
1,14590,""
1,13967,""
14310,14318,""
13060,15386,""
13035,15441,""
13125,14329,""
6,15145,""
13148,14315,""
2,13749,""
6,15364,""
13053,13777,""
13141,13791,""
13118,13714,""
4,13839,""
14520,14558,""
14274,14065,""
6,13790,""
14682,14730,""
2,13614,""
2,14829,""
13053,15155,""
14717,14715,""
2,14359,""
14528,15320,""
13060,15113,""
1,13591,""
13125,14068,""
6,14303,""
14680,15266,""
6,15208,""
14679,15174,""
13136,13829,""
6,14269,""
1,13628,""
14341,13362,""
6,14358,""
13060,15144,""
4,14245,""
2,13924,""
14492,14496,""
1,15295,""
14478,14130,""
6,15104,""
13118,13598,""
1,15219,""
1,13776,""
13136,13847,""
13071,13659,""
13036,15490,""
13035,15535,""
14528,13733,""
1,13897,""
1,14647,""
14478,14337,""
13134,13747,""
6,14586,""
6,14474,""
1,14455,""
13053,15196,""
2,14036,""
6,13938,""
14274,14515,""
13116,14071,""
1,14373,""
1,14030,""
2,15428,""
2,13823,""
13060,15122,""
14520,15359,""
6,15365,""
14952,14991,""
6,15040,""
6,14235,""
14154,14157,""
2,14674,""
14682,15212,""
14274,14444,""
14687,15205,""
2,15379,""
13133,14323,""
2,13650,""
14665,15498,""
13035,15526,""
14478,14494,""
6,14323,""
6,14637,""
13060,14434,""
13124,13923,""
6,14217,""
2,13713,""
1,13680,""
13124,14282,""
2,13658,""
13035,15119,""
14478,14651,""
14961,14964,""
2,13769,""
2,14316,""
14478,14400,""
1,14385,""
2,15515,""
6,14954,""
13035,14637,""
6,14563,""
14478,15189,""
13053,13691,""
13152,13739,""
1,14074,""
6,14549,""
13060,14445,""
14998,14997,""
1,15442,""
14310,13707,""
1,14533,""
14528,13814,""
3,15173,""
1,14180,""
6,15093,""
14665,15486,""
13060,15529,""
1,14607,""
13060,15368,""
13125,13908,""
14274,13651,""
6,13361,""
6,15159,""
14478,13766,""
14274,15251,""
1,15270,""
14310,14074,""
14478,13708,""
14274,13869,""
2,14976,""
13035,15523,""
2,15246,""
14945,14978,""
13124,14043,""
2,13361,""
13035,15142,""
6,15174,""
2,14517,""
14155,14223,""
6,15477,""
2,15483,""
13060,14462,""
14098,14017,""
14263,13652,""
6,14069,""
2,14362,""
6,14370,""
2,13703,""
2,15393,""
14478,14303,""
1,14504,""
13060,14487,""
6,13980,""
14098,14107,""
14098,14039,""
1,15174,""
1,15169,""
13121,14328,""
14521,14571,""
1,13906,""
14478,14077,""
15481,15386,""
14478,13825,""
