id,idChannel,idAsset,asset_type,peer_review,created_at,created_by,updated_at,updated_by
468,73,434,1,"","","","",""
522,74,502,1,"","","","",""
734,84,732,1,"",1655477895000,"","",""
7,15,9,1,"","","","",""
639,28,623,1,"","","","",""
176,29,183,1,"","","","",""
618,29,611,1,"","","","",""
32,31,30,1,"","","","",""
62,31,63,1,"","","","",""
509,31,485,1,"","","","",""
169,32,178,1,"","","","",""
341,34,315,1,"","","","",""
627,35,613,1,"","","","",""
158,42,171,1,"","","","",""
369,44,338,1,"","","","",""
336,58,313,1,"","","","",""
598,64,599,1,"","","","",""
437,71,395,1,"","","","",""
448,72,407,1,"","","","",""
495,74,472,1,published,"","","",""
586,77,582,1,"","","","",""
591,77,589,1,"","","","",""
488,29,455,1,"","","","",""
508,31,484,1,"","","","",""
137,33,146,1,"","","","",""
277,43,58,1,"","","","",""
562,43,554,1,"","","","",""
647,43,632,1,"","","","",""
372,44,341,1,"","","","",""
752,46,734,2,"",1655921252000,"","",""
244,47,251,1,"","","","",""
326,55,299,1,"","","","",""
327,55,300,1,"","","","",""
348,55,319,1,"","","","",""
294,64,65,1,"","","","",""
389,69,360,1,"","","","",""
409,70,379,1,"","","","",""
532,74,512,1,"","","","",""
577,76,574,1,"","","","",""
600,80,604,1,"","","","",""
638,81,622,1,"","","","",""
704,15,652,1,"","","","",""
742,24,734,2,"",1655921252000,"","",""
268,32,259,1,"","","","",""
212,33,221,1,"","","","",""
291,37,7908,3,"","","","",""
141,44,149,1,"","","","",""
89,46,98,1,"","","","",""
92,46,101,1,"","","","",""
149,49,159,1,"","","","",""
325,55,298,1,"","","","",""
382,69,352,1,"","","","",""
384,69,354,1,"","","","",""
670,69,668,1,"","","","",""
516,74,492,2,"","","","",""
493,74,8021,3,"","","","",""
590,77,588,1,"","","","",""
653,78,8428,3,"","","","",""
720,85,715,1,"","","","",""
36,16,34,1,published,"","","",""
125,22,132,1,"","","","",""
183,29,190,1,"","","","",""
148,33,155,1,"","","","",""
87,46,96,1,"","","","",""
88,46,97,1,"","","","",""
272,46,272,1,"","","","",""
221,57,228,1,"","","","",""
299,64,14,1,"","","","",""
521,74,501,1,"","","","",""
685,83,117,4,"","","","",""
732,84,730,1,"",1655406871000,"","",""
550,23,540,2,"","","","",""
596,26,596,1,"","","","",""
659,33,642,1,"","","","",""
707,44,705,1,"","","","",""
94,46,103,1,"","","","",""
242,46,249,1,"","","","",""
267,46,268,1,"","","","",""
124,50,131,1,"","","","",""
189,53,197,1,"","","","",""
755,53,734,2,"",1655921252000,"","",""
306,64,199,1,"","","","",""
394,69,366,1,"","","","",""
566,76,563,1,"","","","",""
584,77,580,1,"","","","",""
589,77,586,1,"","","","",""
607,78,608,1,"","","","",""
706,85,704,1,"","","","",""
414,24,381,1,published,"","","",""
564,24,557,2,"","","","",""
280,29,281,1,"","","","",""
482,32,448,1,"","","","",""
536,32,518,1,"","","","",""
181,33,188,1,"","","","",""
192,33,199,1,"","","","",""
623,36,612,1,"","","","",""
246,46,253,1,"","","","",""
644,50,626,1,"","","","",""
417,55,388,1,"","","","",""
304,64,26,1,"","","","",""
293,64,27,1,"","","","",""
469,73,431,1,"","","","",""
610,78,169,1,"","","","",""
3,15,3,1,"","","","",""
118,15,125,1,"","","","",""
49,22,47,1,"","","","",""
422,24,393,1,published,"","","",""
74,29,73,1,"","","","",""
266,29,267,1,"","","","",""
640,29,624,1,"","","","",""
274,32,274,1,"","","","",""
334,32,308,1,"","","","",""
370,44,337,1,"","","","",""
579,55,223,1,"","","","",""
225,57,233,1,"","","","",""
265,62,267,1,"","","","",""
305,64,25,1,"","","","",""
484,64,452,1,"","","","",""
353,67,313,1,"","","","",""
57,20,55,1,"","","","",""
111,29,116,1,"","","","",""
510,31,486,1,"","","","",""
133,33,142,1,"","","","",""
351,34,322,1,"","","","",""
151,49,165,1,"","","","",""
129,50,136,1,"","","","",""
441,50,400,1,"","","","",""
312,64,28,1,"","","","",""
524,74,504,1,"","","","",""
528,74,508,1,"","","","",""
561,74,551,1,"","","","",""
587,77,583,1,"","","","",""
716,81,712,1,"","","","",""
764,84,8549,3,"",1656071952000,"","",""
82,15,91,1,"","","","",""
209,15,218,1,"","","","",""
620,20,612,1,"","","","",""
144,23,151,1,"","","","",""
490,29,463,1,"","","","",""
519,29,499,1,"","","","",""
694,30,691,1,"","","","",""
54,34,52,1,"","","","",""
