id_path,id_item,in_slot,prerequisites,sequence,mode,delay_time,delay_time_unit
11,114,0,"",6,all,0,""
17,156,0,"",9,all,"",""
18,83,0,"",4,all,"",""
27,151,0,"",0,all,"",""
28,147,0,144,3,all,"",""
14,117,0,115,1,all,"",""
26,147,0,144,1,all,"",""
7,58,0,"",1,all,0,""
16,128,0,"",5,all,"",""
21,150,0,151,1,all,"",""
6,55,0,"",0,all,"",""
22,145,0,144,1,all,"",""
11,84,0,"",0,all,"",""
30,142,0,141,1,all,"",""
10,114,0,"",6,all,0,""
19,79,0,"",0,all,"",""
11,86,0,"",2,all,"",""
24,146,0,144,1,all,"",""
13,106,0,"",0,all,"",""
29,154,0,"",0,all,"",""
11,82,0,"",3,all,"",""
19,82,0,"",2,all,"",""
10,80,0,"",1,all,"",""
30,141,0,"",0,all,"",""
23,151,0,"",0,all,"",""
11,79,0,"",4,all,"",""
19,86,0,"",5,all,"",""
19,81,0,"",1,all,"",""
15,158,0,"",5,all,"",""
17,127,0,"",7,all,"",""
27,148,0,151,3,all,"",""
8,58,0,"",1,all,0,""
22,144,0,"",0,all,"",""
1,2,0,1,1,all,"",""
17,122,0,"",2,all,"",""
25,148,0,151,1,all,"",""
13,108,0,"",1,all,"",""
15,127,0,"",3,all,"",""
16,117,0,"",1,all,"",""
19,84,0,"",3,all,"",""
19,87,0,"",6,all,"",""
14,127,0,"115,117",2,all,"",""
11,85,0,"",5,all,"",""
12,109,0,"",1,all,"",""
18,114,0,"",7,all,"",""
18,72,0,"",6,all,"",""
1,1,0,"",0,all,"",""
18,78,0,"",0,all,"",""
18,77,0,"",5,all,"",""
12,107,0,"",0,all,"",""
17,115,0,"",0,all,"",""
15,115,0,"",0,all,"",""
23,149,0,151,1,all,"",""
14,158,0,"",4,all,"",""
28,146,0,144,2,all,"",""
27,149,0,151,2,all,"",""
18,51,0,"",3,all,"",""
17,125,0,"",5,all,"",""
10,77,0,"",5,all,"",""
21,151,0,"",0,all,"",""
17,126,0,"",6,all,"",""
10,78,0,"",0,all,"",""
19,114,0,"",7,all,"",""
24,144,0,"",0,all,"",""
14,115,0,"",0,all,"",""
18,75,0,"",1,all,"",""
14,128,0,"115,117,127",3,all,"",""
17,124,0,"",4,all,"",""
18,80,0,"",2,all,"",""
19,85,0,"",4,all,"",""
17,123,0,"",3,all,"",""
13,110,0,"",2,all,"",""
15,117,0,"",1,all,"",""
12,111,0,"",2,all,"",""
16,127,0,"",4,all,"",""
10,75,0,"",2,all,"",""
10,83,0,"",4,all,"",""
6,58,0,"",1,all,"",""
26,144,0,"",0,all,"",""
29,153,0,154,1,all,"",""
16,125,0,"",3,all,"",""
17,117,0,"",1,all,"",""
10,51,0,"",3,all,"",""
7,55,0,"",0,all,"",""
28,145,0,144,1,all,"",""
25,151,0,"",0,all,"",""
16,124,0,"",2,all,"",""
15,125,0,"",2,all,"",""
11,81,0,"",1,all,"",""
15,128,0,"",4,all,"",""
8,55,0,"",0,all,"",""
28,144,0,"",0,all,"",""
17,128,0,"",8,all,"",""
16,115,0,"",0,all,"",""
27,150,0,151,1,all,"",""
