idst,idstMember,filter
13035,13717,""
2,23157,""
15864,21159,""
2,24592,""
2,19965,""
13219,19200,""
1,14811,""
13061,14048,""
1,14400,""
6,17513,""
21100,25706,""
13932,14561,""
13126,26044,""
6,14534,""
13161,26652,""
2,23151,""
2,20312,""
19925,19920,""
13091,20447,""
1,24478,""
15864,21530,""
16506,21174,""
13960,15168,""
1,17897,""
6,25009,""
13162,17912,""
13158,14137,""
13061,26681,""
6,16751,""
6,17943,""
6,25045,""
13044,15240,""
13220,21865,""
2,20639,""
21042,24863,""
23622,21063,""
1,15254,""
13061,23106,""
6,26862,""
6,18571,""
16232,18367,""
2,20906,""
15864,21330,""
13060,24383,""
16506,18080,""
2,22304,""
13072,17492,""
2,15215,""
2,15566,""
13092,21701,""
26270,22924,""
2,16177,""
2,16031,""
6,15343,""
1,18783,""
2,18455,""
1,22148,""
6,21843,""
6,15775,""
2,16932,""
2,15986,""
23050,20561,""
13071,18181,""
1,19201,""
6,25233,""
13932,13315,""
13049,23841,""
1,21788,""
2,23972,""
6,15236,""
1,19505,""
13162,16461,""
13092,18624,""
13117,16324,""
2,18855,""
2,13350,""
2,22956,""
23569,19207,""
13163,18488,""
6,16137,""
16506,17820,""
16232,18065,""
16499,18709,""
6,22855,""
21980,22330,""
15864,17254,""
13045,17238,""
6,16850,""
16506,17828,""
13218,23035,""
1,21884,""
2,21775,""
13044,27018,""
13035,15149,""
13346,14810,""
13218,22012,""
6,24957,""
1,27019,""
2,16634,""
1,14555,""
6,20672,""
2,14446,""
13091,16679,""
2,20566,""
6,21190,""
23569,19054,""
26256,25704,""
13043,26443,""
6,18976,""
15864,20872,""
6,22686,""
2,26600,""
16232,23105,""
6,18265,""
1,25079,""
6,25135,""
1,26575,""
6,22637,""
23772,26928,""
1,18706,""
6,22555,""
13092,18633,""
23572,21154,""
1,25531,""
13073,13980,""
13346,13955,""
16506,22019,""
6,16540,""
1,15690,""
6,21194,""
13060,14721,""
16232,22741,""
