"item_id","creation_date","content_type","recency","customer_name"
"350","1652389404000","1","5","c3"
"14","1600475135000","1","2","c3"
"45","1615418459000","1","2","c3"
"55","1619213858000","1","2","c3"
"167","1636587036000","19","3","c3"
"165","1600069128000","1","2","c2"
"162","1600069127000","1","2","c2"
"176","1600853455000","1","2","c2"
"363","1653335482000","1","5","c3"
"202","1614324902000","5","2","c2"
"198","1614324306000","5","2","c2"
"64","1620751827000","1","2","c3"
"302","1649947554000","15","4","c3"
"21","1602171023000","1","2","c3"
"81","1628095938000","1","3","c3"
"164","1600069127000","1","2","c2"
"235","1640076361000","1","3","c2"
"263","1648213479000","19","4","c3"
"239","1646338884000","19","4","c3"
"157","1600069126000","1","2","c2"
"238","1640076852000","1","3","c2"
"255","1648105018000","1","4","c2"
"240","1646351297000","1","4","c3"
"230","1639988226000","1","3","c2"
"2","1597270705000","1","2","c3"
"201","1614324856000","5","2","c2"
"248","1646957546000","15","4","c3"
"201","1644627308000","5","4","c3"
"61","1560518368000","1","1","c2"
"42","1613054451000","1","2","c3"
"139","1631774883000","1","3","c3"
"312","1650038990000","19","4","c3"
"98","1629958805000","1","3","c3"
"262","1648124386000","1","4","c3"
"49","1540394015000","1","1","c2"
"175","1600852787000","1","2","c2"
"47","1539259719000","1","1","c2"
"50","1540394561000","1","1","c2"
"272","1648660102000","19","4","c3"
"227","1645631039000","19","4","c3"
"92","1571221910000","1","1","c2"
"232","1639988890000","1","3","c2"
"276","1648745134000","1","4","c3"
"168","1636587725000","19","3","c3"
"79","1571210797000","1","1","c2"
"196","1612441521000","1","2","c2"
"170","1600069128000","1","2","c2"
"253","1647526785000","1","4","c3"
"57","1549444914000","1","1","c2"
"269","1648508581000","15","4","c3"
"55","1549444689000","1","1","c2"
"125","1630521889000","1","3","c3"
"368","1654108119000","1","5","c3"
"217","1639751646000","1","3","c2"
"369","1654117443000","1","5","c3"
"288","1648844290000","19","4","c3"
"181","1641935962000","15","3","c3"
"379","1655840975000","1","5","c3"
"91","1628882249000","1","3","c3"
"321","1650563915000","1","4","c3"
"281","1648836489000","19","4","c3"
"244","1643711517000","1","4","c2"
"30","1604436730000","19","2","c3"
"188","1643741653000","19","4","c3"
"39","1611854083000","19","2","c3"
"195","1612441334000","1","2","c2"
"356","1652733833000","19","5","c3"
"190","1612436971000","1","2","c2"
"240","1640192575000","19","3","c2"
"61","1620679571000","1","2","c3"
"214","1639745269000","1","3","c2"
"27","1603406219000","1","2","c3"
"80","1628082292000","19","3","c3"
"289","1649097814000","5","4","c3"
"150","1633585772000","1","3","c3"
"63","1560518830000","1","1","c2"
"73","1626209789000","1","3","c3"
"47","1616538468000","1","2","c3"
"375","1655331190000","1","5","c3"
"254","1647527047000","19","4","c3"
"231","1639988545000","1","3","c2"
"53","1549444308000","1","1","c2"
