"user_id","user_language","customer_name"
"17887","english","c1"
"22034","english","c1"
"21257","english","c1"
"19105","english","c1"
"24694","english","c1"
"25840","english","c1"
"15765","english","c1"
"26399","english","c1"
"16881","english","c1"
"26913","english","c1"
"20482","english","c1"
"19277","english","c1"
"16419","english","c1"
"13520","english","c1"
"20125","english","c1"
"23908","english","c1"
"18101","english","c1"
"17523","english","c1"
"19731","english","c1"
"22688","english","c1"
"20631","english","c1"
"21803","english","c1"
"24490","english","c1"
"18531","english","c1"
"26373","english","c1"
"22406","english","c1"
"21892","english","c1"
"22606","english","c1"
"21111","english","c1"
"26365","english","c1"
"21169","english","c1"
"19264","english","c1"
"16076","english","c1"
"27013","english","c1"
"17013","english","c1"
"15814","english","c1"
"26422","english","c1"
"23036","english","c1"
"24193","english","c1"
"18314","english","c1"
"24930","english","c1"
"21097","english","c1"
"19077","english","c1"
"13731","english","c1"
"22785","english","c1"
"13905","english","c1"
"17901","english","c1"
"15444","english","c1"
"18300","english","c1"
"15234","english","c2"
"17276","english","c2"
"16770","english","c2"
"16425","english","c2"
"16003","english","c2"
"16667","english","c2"
"16163","english","c2"
"17417","english","c2"
"13933","turkish","c2"
"17629","english","c2"
"16070","english","c2"
"16909","english","c2"
"14925","english","c2"
"13726","english","c2"
"17979","english","c2"
"17872","english","c2"
"15476","english","c2"
"13382","english","c2"
"14899","english","c2"
"15350","english","c2"
"17889","english","c2"
"13439","english","c2"
"16098","english","c2"
"17415","english","c2"
"13441","english","c2"
"16494","english","c2"
"16652","english","c2"
"16031","english","c2"
"17202","english","c2"
"13506","english","c2"
"16220","english","c2"
"14800","english","c2"
"14477","english","c2"
"13468","english","c2"
"13064","english","c3"
"13215","english","c3"
"16585","english","c3"
"16546","english","c3"
"17132","english","c3"
"16457","english","c3"
"16923","english","c3"
"13841","english","c3"
"16963","english","c3"
"17966","english","c3"
"17260","english","c3"
"16652","english","c3"
"16283","english","c3"
"24300","english","c1"
"22231","english","c1"
"23063","english","c1"
"13576","english","c1"
"20960","english","c1"
"27097","english","c1"
"21777","english","c1"
"20680","english","c1"
"16591","english","c1"
"26397","english","c1"
"17674","english","c1"
"22665","english","c1"
"18074","english","c1"
"22408","english","c1"
"19019","english","c1"
"22528","english","c1"
"22475","english","c1"
"17493","english","c1"
"19432","english","c1"
"18571","english","c1"
"21737","english","c1"
"13320","english","c1"
"14891","english","c1"
"22936","english","c1"
"19294","english","c1"
"20697","english","c1"
"22811","english","c1"
"18516","english","c1"
"16624","english","c1"
"16135","english","c1"
"24423","english","c1"
"20863","english","c1"
"16746","english","c1"
"25676","english","c1"
"14026","english","c1"
"24082","english","c1"
"15939","english","c1"
"20237","english","c1"
"23114","english","c1"
"21285","english","c1"
"21466","english","c1"
"26306","english","c1"
"17336","english","c1"
"18270","english","c1"
"15582","english","c1"
"25752","english","c1"
"22589","english","c1"
"17427","english","c1"
"22349","english","c1"
"26896","english","c1"
"19966","english","c1"
"21186","english","c1"
"24317","english","c1"
"13606","english","c1"
"22564","english","c1"
"17043","english","c1"
"26456","english","c1"
"17368","english","c1"
"15640","english","c1"
"18084","english","c1"
"25694","english","c1"
"15992","english","c1"
"21919","english","c1"
"24903","english","c1"
"20408","english","c1"
"26911","english","c1"
"25951","english","c1"
"20902","english","c1"
"13279","english","c1"
"14450","english","c1"
"26102","english","c1"
"17311","english","c1"
"21408","english","c1"
"14732","english","c1"
"21152","english","c1"
"16116","english","c1"
"13759","english","c1"
"26786","english","c1"
"24068","english","c1"
"15229","english","c1"
"17892","english","c1"
"14740","english","c1"
"20623","english","c1"
"15104","english","c1"
"13376","english","c1"
"21027","english","c1"
"24409","english","c1"
"13522","english","c1"
"16110","english","c2"
"13532","english","c2"
"16209","english","c2"
"13604","english","c2"
"16873","english","c2"
"17799","english","c2"
"14775","english","c2"
"13474","english","c2"
"17999","english","c2"
"17236","english","c2"
"16259","english","c2"
"17038","english","c2"
"16969","english","c2"
"15357","english","c2"
"15842","english","c2"
"16672","english","c2"
"17850","english","c2"
"14719","french","c2"
"17664","english","c2"
"13986","english","c2"
"17862","english","c2"
"16691","english","c2"
"17521","english","c2"
"14413","english","c2"
"15991","english","c2"
"17391","english","c2"
"15566","english","c2"
"17449","french","c2"
"16192","english","c2"
"15545","english","c2"
"15895","english","c2"
"15779","english","c2"
"16361","english","c3"
"16762","english","c3"
"17889","english","c3"
"16180","english","c3"
"13279","english","c3"
"17568","english","c3"
"14088","english","c3"
"16064","english","c3"
"16549","english","c3"
"13311","english","c3"
"14568","english","c3"
"16943","english","c3"
"17887","english","c3"
"13306","english","c3"
"17175","english","c3"
"16987","english","c3"
"17312","english","c3"
"17110","english","c3"
"13622","english","c3"
"17655","english","c3"
"13285","english","c3"
"16043","english","c3"
"17961","english","c3"
"16676","english","c3"
"16294","english","c3"
"17272","english","c1"
"22496","english","c1"
"22478","english","c1"
"26929","english","c1"
"24685","english","c1"
"25445","english","c1"
"17784","english","c1"
"22411","english","c1"
"18136","english","c1"
"20669","english","c1"
"13783","english","c1"
"13565","english","c1"
"20319","english","c1"
"25435","english","c1"
"22974","english","c1"
"15436","english","c1"
"18009","english","c1"
"24417","english","c1"
"18475","english","c1"
"16042","english","c1"
"22761","english","c1"
"14591","english","c1"
"20502","english","c1"
"24586","english","c1"
"19292","english","c1"
"16513","english","c1"
"24533","english","c1"
"24999","english","c1"
"22689","english","c1"
"16635","english","c1"
"20686","english","c1"
"20057","english","c1"
"25732","english","c1"
"26539","english","c1"
"20413","english","c1"
"23169","english","c1"
"21743","english","c1"
"18675","english","c1"
"22875","english","c1"
"26096","english","c1"
"24950","english","c1"
"23014","english","c1"
"17304","english","c1"
"24897","english","c1"
"25519","english","c1"
"17148","english","c1"
"22679","english","c1"
"19259","english","c1"
"24981","english","c1"
"20683","english","c1"
"24149","english","c1"
"24204","english","c1"
"14490","english","c1"
"24301","english","c1"
"21945","english","c1"
"24370","english","c1"
"16882","english","c1"
"21815","english","c1"
"20980","english","c1"
"13881","english","c1"
"21882","english","c1"
"20316","english","c1"
"22179","english","c1"
"17362","english","c1"
"26625","english","c1"
"17278","english","c1"
"21713","english","c1"
"26550","english","c1"
"25860","english","c1"
"16551","english","c1"
"22238","english","c1"
"24639","english","c1"
"24387","english","c1"
"26922","english","c1"
"20173","english","c1"
"24004","english","c1"
"18445","english","c1"
"22348","english","c1"
"23821","english","c1"
"14493","english","c1"
"14813","english","c1"
"15043","english","c1"
"15474","english","c1"
"24088","english","c1"
"16606","english","c1"
"14251","english","c2"
"15216","english","c2"
"15230","english","c2"
"15132","english","c2"
"15079","english","c2"
"14710","english","c2"
"17309","english","c2"
"14794","english","c2"
"13931","arabic","c2"
"17370","english","c2"
"15443","english","c2"
"14792","english","c2"
"14664","english","c2"
"17384","english","c2"
"15863","english","c2"
"15839","english","c2"
"16503","english","c2"
"13307","english","c2"
"13954","english","c2"
"13590","english","c2"
"17871","english","c2"
"18001","english","c2"
"15856","english","c2"
"15397","english","c2"
"17763","english","c2"
"17938","english","c3"
"17156","english","c3"
"16050","english","c3"
"13675","english","c3"
"13395","english","c3"
"16391","english","c3"
"16437","english","c3"
"13788","english","c3"
"16465","english","c3"
"17472","english","c3"
"13704","english","c3"
"13803","english","c3"
"13393","english","c3"
"18070","english","c3"
"13380","english","c3"
"17621","english","c3"
"16149","english","c3"
"17703","english","c3"
"17326","english","c3"
"16688","english","c3"
"16321","english","c3"
"14670","english","c3"
"17196","english","c3"
"25802","english","c1"
"18264","english","c1"
"14092","english","c1"
"21847","english","c1"
"13315","english","c1"
"20314","english","c1"
"26931","english","c1"
"14135","english","c1"
"15875","english","c1"
"16853","english","c1"
"26082","english","c1"
"19906","english","c1"
"18760","english","c1"
"21221","english","c1"
"13963","english","c1"
"19609","english","c1"
"14843","english","c1"
"17371","english","c1"
"20688","english","c1"
"23960","english","c1"
"18542","english","c1"
"24714","english","c1"
"14507","english","c1"
"18777","english","c1"
"26509","english","c1"
"17781","english","c1"
"16650","english","c1"
"18410","english","c1"
"13730","english","c1"
"21931","english","c1"
"18262","english","c1"
"14514","english","c1"
"17246","english","c1"
"26423","english","c1"
"21518","english","c1"
"26943","english","c1"
"15258","english","c1"
"17951","english","c1"
"25800","english","c1"
"24233","english","c1"
"14688","english","c1"
"21926","english","c1"
"21305","english","c1"
"13780","english","c1"
"22624","english","c1"
"16736","english","c1"
"24656","english","c1"
"19693","english","c1"
"25703","english","c1"
"14589","english","c1"
"15887","english","c1"
"21952","english","c1"
"13798","english","c1"
"26594","english","c1"
"25136","english","c1"
"22595","english","c1"
"14697","english","c1"
"16153","english","c1"
"24332","english","c1"
"26140","english","c1"
"20060","english","c1"
"15788","english","c1"
"18774","english","c1"
"20133","english","c1"
"15342","english","c1"
"22240","english","c1"
"20768","english","c1"
"23188","english","c1"
"14347","english","c1"
"22708","english","c1"
"27040","english","c1"
"21984","english","c1"
"13867","english","c1"
"26166","english","c1"
"26497","english","c1"
"25783","english","c1"
"16227","english","c1"
"19577","english","c1"
"21868","english","c1"
"19904","english","c1"
"16506","english","c2"
"16602","english","c2"
"16742","english","c2"
"14611","english","c2"
"13928","english","c2"
"16520","english","c2"
"15458","english","c2"
"15127","english","c2"
"15729","english","c2"
"15228","english","c2"
"17355","english","c2"
"17845","english","c2"
"15456","english","c2"
"14966","english","c2"
"15345","english","c2"
"15091","english","c2"
"17000","english","c2"
"13700","english","c2"
"15854","english","c2"
"13436","english","c2"
"13276","english","c2"
"14681","english","c2"
"13465","english","c2"
"14583","english","c2"
"17484","english","c3"
"17185","english","c3"
"17072","english","c3"
"17974","english","c3"
"16381","english","c3"
"13649","english","c3"
"17112","english","c3"
"16858","english","c3"
"16731","english","c3"
"17606","english","c3"
"18034","english","c3"
"17173","english","c3"
"16733","english","c3"
"16311","english","c3"
"16803","english","c3"
"16460","english","c3"
"16779","english","c3"
"16717","english","c3"
"13421","english","c3"
"13270","english","c3"
"16678","english","c3"
"16475","english","c3"
"13625","english","c3"
"17155","english","c3"
"16952","english","c1"
"25474","english","c1"
"21832","english","c1"
"18098","english","c1"
"26591","english","c1"
"18024","english","c1"
"13699","english","c1"
"17089","english","c1"
"26593","english","c1"
"16457","english","c1"
"23850","english","c1"
"18841","english","c1"
"26454","english","c1"
"15834","english","c1"
"21614","english","c1"
"22734","english","c1"
"23823","english","c1"
"15206","english","c1"
"24938","english","c1"
"15354","english","c1"
"22435","english","c1"
"19269","english","c1"
"20948","english","c1"
"22857","english","c1"
"21067","english","c1"
"15378","english","c1"
"26183","english","c1"
"17913","english","c1"
"16006","english","c1"
"24274","english","c1"
"27006","english","c1"
"19297","english","c1"
"21535","english","c1"
"19211","english","c1"
"22322","english","c1"
"14097","english","c1"
"16102","english","c1"
"24615","english","c1"
"21696","english","c1"
"20712","english","c1"
"25447","english","c1"
"23852","english","c1"
"16254","english","c1"
"15393","english","c1"
"23060","english","c1"
"18434","english","c1"
"26030","english","c1"
"26958","english","c1"
"21632","english","c1"
"14062","english","c1"
"24161","english","c1"
"25037","english","c1"
"26905","english","c1"
"20808","english","c1"
"24221","english","c1"
"23113","english","c1"
"25430","english","c1"
"15476","english","c1"
"25022","english","c1"
"25232","english","c1"
"19580","english","c1"
"13754","english","c1"
"22773","english","c1"
"26649","english","c1"
"21449","english","c1"
"14845","english","c1"
"21094","english","c1"
"15253","english","c1"
"16510","english","c1"
"14825","english","c1"
"13582","english","c1"
"22593","english","c1"
"18134","english","c1"
"20767","english","c1"
"13037","english","c1"
"19923","english","c1"
"16976","english","c1"
"25488","english","c1"
"26990","english","c1"
"21477","english","c1"
"24627","english","c1"
"20331","english","c1"
"14278","english","c1"
"19158","english","c1"
"22802","english","c1"
"15608","english","c1"
"17671","english","c1"
"15241","english","c1"
"16018","english","c1"
"26809","english","c1"
"18448","english","c1"
"17753","english","c1"
"18803","english","c1"
"20453","english","c1"
"13297","english","c1"
"20782","english","c1"
"21122","english","c1"
"16741","english","c2"
"16165","english","c2"
"14256","english","c2"
"15880","english","c2"
"13602","english","c2"
"14917","english","c2"
"13985","english","c2"
"17271","english","c2"
"14597","english","c2"
"15173","english","c2"
"17662","english","c2"
"15004","english","c2"
"17603","english","c2"
"14465","english","c2"
"13631","english","c2"
"17873","english","c2"
"16972","english","c2"
"13218","english","c2"
"14990","english","c2"
"16471","english","c2"
"15600","portuguese","c2"
"17353","english","c2"
"16957","english","c2"
"16703","english","c2"
"17053","english","c2"
