"user_id","item_id","timestamp","recency","rating","type","priority"
"13699","274","1648740836000","4",,"is_invited","1"
"17590","257","1647640344000","4",,"is_invited","1"
"13704","274","1648740836000","4",,"is_invited","1"
"13533","131","1630600604000","3",,"is_invited","1"
"13577","251","1647376780000","4",,"is_invited","1"
"13693","274","1648740836000","4",,"is_invited","1"
"13602","251","1647376780000","4",,"is_invited","1"
"13603","251","1647376780000","4",,"is_invited","1"
"13114","294","1649171041000","4",,"is_invited","1"
"13064","59","1620367528000","2",,"is_invited","1"
"17590","241","1646401427000","4",,"is_invited","1"
"13668","251","1647376780000","4",,"is_invited","1"
"13649","251","1647376780000","4",,"is_invited","1"
"13666","251","1647376780000","4",,"is_invited","1"
"13695","274","1648740836000","4",,"is_invited","1"
"13569","251","1647376780000","4",,"is_invited","1"
"17649","104","1630524040000","3",,"is_invited","1"
"13419","30","1634929827000","3",,"is_invited","1"
"13688","331","1653567802000","5",,"interaction","0"
"17656","135","1630857349000","3",,"interaction","0"
"17655","133","1630671999000","3",,"interaction","0"
"17655","104","1630570406000","3",,"interaction","0"
"17655","153","1634564342000","3",,"interaction","0"
"17655","104","1630530342000","3",,"interaction","0"
"13729","331","1651176875000","4",,"interaction","0"
"17655","104","1630530835000","3",,"interaction","0"
"14006","192","1615929916000","2",,"interaction","0"
"14699","206","1618646147000","2",,"interaction","0"
"15511","198","1615829257000","2",,"interaction","0"
"14699","204","1618646025000","2",,"interaction","0"
"14699","211","1618644396000","2",,"interaction","0"
"14699","199","1618645314000","2",,"interaction","0"
"15511","192","1615829465000","2",,"interaction","0"
"14006","200","1615936748000","2",,"interaction","0"
"15511","192","1615830025000","2",,"interaction","0"
"14699","210","1620352483000","2",,"interaction","0"
"14699","203","1618646086000","2",,"interaction","0"
"15511","192","1615829428000","2",,"interaction","0"
"13659","199","1615962034000","2",,"interaction","0"
"15511","192","1615829955000","2",,"interaction","0"
"13659","203","1615961927000","2",,"interaction","0"
"15511","201","1615828897000","2",,"interaction","0"
"14006","192","1615929913000","2",,"interaction","0"
"15511","192","1615829925000","2",,"interaction","0"
"13659","207","1615961934000","2",,"interaction","0"
"15511","197","1615829725000","2",,"interaction","0"
"15511","192","1615829875000","2",,"interaction","0"
"14006","202","1615930026000","2",,"interaction","0"
"15511","192","1615829458000","2",,"interaction","0"
"15511","210","1615828746000","2",,"interaction","0"
"15511","192","1615829312000","2",,"interaction","0"
"13659","200","1615962320000","2",,"interaction","0"
"14699","191","1620369163000","2",,"interaction","0"
"15511","192","1615830045000","2",,"interaction","0"
"14006","189","1615498957000","2",,"interaction","0"
"14699","201","1618645389000","2",,"interaction","0"
"15511","192","1615829985000","2",,"interaction","0"
"14006","211","1615498858000","2",,"interaction","0"
"14699","190","1618650193000","2",,"interaction","0"
"14006","189","1615498934000","2",,"interaction","0"
"14699","202","1618645358000","2",,"interaction","0"
"15511","192","1615829448000","2",,"interaction","0"
"14006","206","1615936709000","2",,"interaction","0"
"14699","208","1618645586000","2",,"interaction","0"
"14699","187","1620368699000","2",,"interaction","0"
"13659","205","1615961952000","2",,"interaction","0"
"15511","192","1615829885000","2",,"interaction","0"
"13729","174","1651687273000","4",,"interaction","0"
"13729","348","1654006816000","5",,"interaction","0"
"17655","133","1630683440000","3",,"interaction","0"
