id_path,id_item,in_slot,prerequisites,sequence,mode,delay_time,delay_time_unit
20,3709,0,"",13,all,"",""
20,2561,0,"",19,all,"",""
38,3863,0,"",0,all,"",""
64,7831,0,"",3,all,"",""
3,69,0,"",8,all,"",""
65,7833,0,"",1,all,"",""
111,40,0,"",6,all,"",""
3,56,0,"",4,all,"",""
53,7785,0,"",5,all,"",""
86,7967,0,"",3,all,0,""
54,7787,0,"",0,all,"",""
54,7779,0,"",6,all,"",""
119,8380,0,"",10,all,"",""
36,6787,0,"",2,all,"",""
106,8084,0,"",1,all,0,""
39,4734,0,"",3,all,"",""
126,8392,0,"",10,all,"",""
91,122,0,"",0,all,"",""
120,8447,0,"",4,all,0,""
84,7952,0,"",5,all,0,""
117,8413,0,"",8,all,0,""
27,5886,0,"",6,all,"",""
25,5956,0,"",4,all,"",""
121,8459,0,"",25,all,0,""
47,41,0,"",5,all,"",""
110,8095,0,"",8,all,"",""
89,7984,0,"",5,all,0,""
26,3863,0,"",9,all,"",""
106,8098,0,"",4,all,0,""
42,5750,0,"",3,all,"",""
79,7911,0,"",0,all,"",""
62,7780,0,"",1,all,"",""
126,8421,0,"",4,all,0,""
69,1580,0,"",0,all,0,""
92,8000,0,"",0,all,"",""
128,8530,0,"",0,all,"",""
112,8111,0,"",3,all,0,""
121,7402,0,"",2,all,"",""
96,8044,0,"",8,all,"",""
13,115,0,"",0,all,"",""
30,6542,0,"",4,all,"",""
21,5886,0,"",3,all,"",""
92,8104,0,"",10,all,"",""
14,7751,0,"",10,all,"",""
16,2085,0,"",11,all,"",""
37,1210,0,"",2,all,"",""
121,8181,0,"",12,all,"",""
31,2291,0,"",2,all,"",""
39,5405,0,"",1,all,"",""
27,5139,0,"",4,all,"",""
6,82,0,"",0,all,365,day
27,1102,0,"",0,all,"",""
92,8003,0,"",3,all,"",""
92,8147,0,"",16,all,0,""
73,7893,0,"",3,all,"",""
20,6311,0,"",0,all,"",""
65,7838,0,"",6,all,"",""
118,8396,0,"",2,all,0,""
58,46,0,"",3,all,"",""
20,6474,0,"",17,all,"",""
92,8002,0,"",2,all,"",""
17,5543,0,"",1,all,"",""
41,5659,0,"",2,all,"",""
69,43,0,"",0,all,0,""
31,7490,0,"",3,all,"",""
38,4441,0,"",3,all,"",""
119,8392,0,"",14,all,"",""
66,7842,0,"",1,all,"",""
11,129,0,"",10,all,"",""
84,7948,0,"",1,all,0,""
45,1393,0,"",4,all,"",""
42,390,0,"",5,all,"",""
61,7817,0,"",0,all,"",""
111,6107,0,"",10,all,"",""
27,2826,0,"",7,all,"",""
117,8387,0,"",3,all,"",""
126,8531,0,"",13,all,0,""
81,7922,0,"",1,all,0,""
120,8486,0,"",5,all,0,""
109,8091,0,"",0,all,0,""
58,7804,0,"",1,all,"",""
2,8490,0,"",3,all,"",""
26,592,0,"",6,all,"",""
123,8517,0,"",17,all,"",""
49,43,0,"",8,all,"",""
112,8117,0,"",5,all,0,""
70,44,0,"",8,all,"",""
119,8149,0,"",1,all,"",""
29,105,0,"",0,all,"",""
87,7940,0,"",2,all,"",""
128,130,0,"",12,all,"",""
121,94,0,"",0,all,"",""
51,7769,0,"",0,all,"",""
123,8500,0,"",1,all,"",""
2,2719,0,"",9,all,"",""
25,5661,0,"",7,all,"",""
121,8457,0,"",19,all,0,""
8,127,0,"",11,all,"",""
111,16,0,"",5,all,"",""
84,7949,0,"",2,all,0,""
119,8152,0,"",4,all,"",""
38,1180,0,"",2,all,"",""
29,4902,0,"",3,all,"",""
39,5620,0,"",0,all,"",""
74,7906,0,"",7,all,"",""
11,115,0,"",0,all,"",""
12,124,0,"",8,all,"",""
85,7957,0,"",1,all,0,""
4,72,0,"",4,all,"",""
116,8137,0,"",1,all,0,""
128,7893,0,"",3,all,"",""
66,5228,0,"",3,all,"",""
65,7834,0,"",2,all,"",""
17,7075,0,"",0,all,"",""
49,116,0,"",1,all,"",""
86,7970,0,"",6,all,0,""
48,7753,0,"",0,all,"",""
32,6403,0,"",5,all,"",""
59,7791,0,"",2,all,"",""
126,8530,0,"",9,all,0,""
86,7969,0,"",5,all,0,""
95,8067,0,"",6,all,"",""
112,45,0,"",6,all,0,""
61,7771,0,"",1,all,"",""
24,4511,0,"",4,all,"",""
12,123,0,"",7,all,"",""
37,5863,0,"",4,all,"",""
95,8026,0,"",2,all,"",""
4,95,0,"",11,all,"",""
27,6234,0,"",17,all,"",""
86,7971,0,"",7,all,0,""
33,5710,0,"",0,all,"",""
19,5586,0,"",2,all,"",""
36,7075,0,"",3,all,"",""
117,8389,0,"",5,all,"",""
30,577,0,"",6,all,"",""
50,129,0,"",16,all,"",""
10,126,0,"",6,all,"",""
121,8485,0,"",20,all,0,""
77,7916,0,"",2,all,0,""
