id,idContent,idUser,rating
117,171,14516,5
105,176,14466,4
8,71,13758,5
115,30,14515,5
75,63,14332,5
83,115,14352,5
45,188,13642,5
53,313,13604,5
79,304,13362,5
144,485,15422,5
99,452,14413,5
25,94,13920,5
106,262,14466,3
23,110,13920,4
100,399,14432,5
77,313,14332,5
121,67,14626,5
9,14,14129,5
58,368,13915,5
27,98,13920,5
97,14,14426,4
10,19,14129,5
103,67,14445,5
55,291,14303,5
114,485,14494,5
91,366,14376,2
31,131,14006,5
48,270,13689,5
5,61,14006,4
38,185,13689,5
104,315,14446,5
101,314,14061,5
118,286,14523,4
140,76,15367,5
131,531,15062,5
40,230,13689,5
124,262,14630,4
85,116,14387,5
92,340,14405,5
120,531,14387,5
44,151,13642,5
128,172,15049,5
59,367,13915,5
43,269,13945,5
51,313,13716,5
62,229,14317,5
95,68,14408,5
98,185,14423,5
72,305,14334,5
122,563,14623,5
70,355,14334,5
84,139,14371,5
20,68,14000,5
46,230,13642,5
22,114,13920,5
52,315,13716,5
108,116,14489,5
34,165,14142,5
141,664,15368,5
94,448,14387,5
63,371,13931,2
30,159,13689,5
126,595,14638,5
74,203,14332,5
6,19,13945,5
111,322,14498,5
107,489,14461,5
138,19,15319,5
28,95,13920,5
61,366,13878,5
67,68,14329,5
66,349,14323,5
47,155,13642,5
76,322,14332,5
73,294,14334,5
110,313,14498,5
65,379,14324,5
4,30,13779,5
57,366,14315,5
11,15,14129,5
68,353,14334,5
39,195,13924,5
78,387,14276,5
112,189,14426,5
90,252,14402,5
29,155,13689,5
113,448,14332,5
49,295,13988,5
82,402,13689,5
56,318,13586,5
41,243,13689,5
142,67,15434,5
50,312,14282,5
24,96,13920,5
89,251,14402,5
80,359,14346,5
26,97,13920,5
139,14,15367,5
143,717,15454,5
86,184,14389,5
2,9,13023,5
33,159,14142,5
116,63,14515,5
125,452,14638,5
71,251,14334,5
60,367,13875,5
69,139,14334,5
